date,open,high,low,close,volume,adj_close
1993-05-04,8.683472,8.90385,8.683472,8.892649,537540000,8.892649
1993-05-05,8.892649,8.989686,8.831859,8.944628,578380000,8.944628
1993-05-06,8.944628,8.980246,8.835509,8.853255,520440000,8.853255
1993-05-07,8.853255,8.917191,8.833873,8.89139,452220000,8.89139
1993-05-10,8.89139,8.974331,8.89139,8.932042,412900000,8.932042
1993-05-11,8.932042,8.932042,8.848346,8.885727,446540000,8.885727
1993-05-12,8.885727,8.888369,8.818644,8.83425,492740000,8.83425
1993-05-13,8.83425,8.834376,8.701596,8.752442,525060000,8.752442
1993-05-14,8.752442,8.811219,8.730166,8.805051,458340000,8.805051
1993-05-17,8.805051,8.888244,8.798129,8.877294,419800000,8.877294
1993-05-18,8.877294,8.964136,8.877294,8.961116,555420000,8.961116
1993-05-19,8.961116,9.192947,8.931916,9.17948,636620000,9.17948
1993-05-20,9.17948,9.335922,9.17948,9.324972,686460000,9.324972
1993-05-21,9.324972,9.325098,9.175453,9.229698,556360000,9.229698
1993-05-24,9.229698,9.303702,9.145121,9.240269,410440000,9.240269
1993-05-25,9.240269,9.240269,9.159343,9.21837,505140000,9.21837
1993-05-26,9.21837,9.424274,9.195338,9.42289,586780000,9.42289
1993-05-27,9.42289,9.47789,9.360087,9.382238,555580000,9.382238
1993-05-28,9.382238,9.382238,9.16916,9.265944,471500000,9.265944
1993-06-01,9.265944,9.431448,9.265944,9.377203,473560000,9.377203
1993-06-02,9.377203,9.437238,9.322959,9.381105,548640000,9.381105
1993-06-03,9.381105,9.40011,9.297913,9.365373,520160000,9.365373
1993-06-04,9.365373,9.365373,9.262924,9.278908,503760000,9.278908
1993-06-07,9.278908,9.358073,9.170544,9.171425,495720000,9.171425
1993-06-08,9.171425,9.171425,9.036631,9.080429,524620000,9.080429
1993-06-09,9.080429,9.142981,9.014857,9.068095,526100000,9.068095
1993-06-10,9.068095,9.075898,8.972191,9.050475,484560000,9.050475
1993-06-11,9.050475,9.165258,9.050475,9.139206,470420000,9.139206
1993-06-14,9.139206,9.261414,9.139206,9.241654,416860000,9.241654
1993-06-15,9.241654,9.30257,9.22567,9.237375,473580000,9.237375
1993-06-16,9.237375,9.272615,9.115921,9.188039,479800000,9.188039
1993-06-17,9.188039,9.209183,9.118565,9.162741,490880000,9.162741
1993-06-18,9.162741,9.207043,9.010452,9.010452,499840000,9.010452
1993-06-21,9.010452,9.02845,8.93607,9.008061,416940000,9.008061
1993-06-22,9.008061,9.04028,8.945383,8.96615,516340000,8.96615
1993-06-23,8.96615,8.999754,8.903346,8.934308,519900000,8.934308
1993-06-24,8.934308,9.026562,8.879434,9.007054,454300000,9.007054
1993-06-25,9.007054,9.153176,9.006928,9.11781,438720000,9.11781
1993-06-28,9.11781,9.274503,9.11781,9.274503,454020000,9.274503
1993-06-29,9.274503,9.309114,9.182375,9.211825,502100000,9.211825
