date,open,high,low,close,volume,is_synthetic,source_symbol,source_kind,synthetic_model_version,stitch_segment
1993-05-04,0.28307082,0.29025488,0.28307082,0.28988974,537540000,True,QQQ,synthetic-leveraged,v1-3xQQQ-0.75%ER-daily,0
1993-05-05,0.29325038,0.29645034,0.29124573,0.29496448,578380000,True,QQQ,synthetic-leveraged,v1-3xQQQ-0.75%ER-daily,0
1993-05-06,0.28886705,0.29001733,0.28534305,0.28591615,520440000,True,QQQ,synthetic-leveraged,v1-3xQQQ-0.75%ER-daily,0
1993-05-07,0.28836026,0.29044272,0.28772896,0.28960236,452220000,True,QQQ,synthetic-leveraged,v1-3xQQQ-0.75%ER-daily,0
1993-05-10,0.29222989,0.29495588,0.29222989,0.29356598,412900000,True,QQQ,synthetic-leveraged,v1-3xQQQ-0.75%ER-daily,0
1993-05-11,0.29049689,0.29049689,0.28777485,0.28899059,446540000,True,QQQ,synthetic-leveraged,v1-3xQQQ-0.75%ER-daily,0
1993-05-12,0.28561405,0.28569898,0.2834578,0.28395943,492740000,True,QQQ,synthetic-leveraged,v1-3xQQQ-0.75%ER-daily,0
1993-05-13,0.27864263,0.2786466,0.27445857,0.27606231,525060000,True,QQQ,synthetic-leveraged,v1-3xQQQ-0.75%ER-daily,0
1993-05-14,0.27935301,0.28122901,0.27864203,0.28103214,458340000,True,QQQ,synthetic-leveraged,v1-3xQQQ-0.75%ER-daily,0
1993-05-17,0.2855979,0.28829632,0.28537338,0.28794115,419800000,True,QQQ,synthetic-leveraged,v1-3xQQQ-0.75%ER-daily,0
1993-05-18,0.29331945,0.29618884,0.29331945,0.29608905,555420000,True,QQQ,synthetic-leveraged,v1-3xQQQ-0.75%ER-daily,0
1993-05-19,0.31016735,0.31819162,0.30915666,0.31772549,636620000,True,QQQ,synthetic-leveraged,v1-3xQQQ-0.75%ER-daily,0
1993-05-20,0.32763074,0.33321442,0.32763074,0.33282359,686460000,True,QQQ,synthetic-leveraged,v1-3xQQQ-0.75%ER-daily,0
1993-05-21,0.32594241,0.32594682,0.32071617,0.32261223,556360000,True,QQQ,synthetic-leveraged,v1-3xQQQ-0.75%ER-daily,0
1993-05-24,0.32334079,0.32593334,0.32037783,0.32371112,410440000,True,QQQ,synthetic-leveraged,v1-3xQQQ-0.75%ER-daily,0
1993-05-25,0.32216345,0.32216345,0.31934196,0.32139994,505140000,True,QQQ,synthetic-leveraged,v1-3xQQQ-0.75%ER-daily,0
1993-05-26,0.33534229,0.34283259,0.33450445,0.34278224,586780000,True,QQQ,synthetic-leveraged,v1-3xQQQ-0.75%ER-daily,0
1993-05-27,0.33980154,0.34178491,0.33753678,0.33833557,555580000,True,QQQ,synthetic-leveraged,v1-3xQQQ-0.75%ER-daily,0
1993-05-28,0.32983269,0.32983269,0.32234193,0.32574437,471500000,True,QQQ,synthetic-leveraged,v1-3xQQQ-0.75%ER-daily,0
1993-06-01,0.3334646,0.33942079,0.3334646,0.33746861,473560000,True,QQQ,synthetic-leveraged,v1-3xQQQ-0.75%ER-daily,0
1993-06-02,0.33773931,0.33990159,0.3357856,0.33787984,548640000,True,QQQ,synthetic-leveraged,v1-3xQQQ-0.75%ER-daily,0
1993-06-03,0.33673463,0.33741681,0.33374845,0.33616993,520160000,True,QQQ,synthetic-leveraged,v1-3xQQQ-0.75%ER-daily,0
1993-06-04,0.32989467,0.32989467,0.32628591,0.32684894,503760000,True,QQQ,synthetic-leveraged,v1-3xQQQ-0.75%ER-daily,0
1993-06-07,0.3191782,0.32190133,0.31545066,0.31548097,495720000,True,QQQ,synthetic-leveraged,v1-3xQQQ-0.75%ER-daily,0
1993-06-08,0.30914855,0.30914855,0.30460494,0.30608127,524620000,True,QQQ,synthetic-leveraged,v1-3xQQQ-0.75%ER-daily,0
1993-06-09,0.30523951,0.30734221,0.3030353,0.30482491,526100000,True,QQQ,synthetic-leveraged,v1-3xQQQ-0.75%ER-daily,0
1993-06-10,0.30362891,0.30389018,0.30041774,0.30303894,484560000,True,QQQ,synthetic-leveraged,v1-3xQQQ-0.75%ER-daily,0
1993-06-11,0.30891431,0.31283213,0.30891431,0.31194292,470420000,True,QQQ,synthetic-leveraged,v1-3xQQQ-0.75%ER-daily,0
1993-06-14,0.3188498,0.32311341,0.3188498,0.32242402,416860000,True,QQQ,synthetic-leveraged,v1-3xQQQ-0.75%ER-daily,0
1993-06-15,0.3221157,0.32423892,0.32155859,0.32196656,473580000,True,QQQ,synthetic-leveraged,v1-3xQQQ-0.75%ER-daily,0
1993-06-16,0.31849927,0.31971432,0.31431161,0.31679819,479800000,True,QQQ,synthetic-leveraged,v1-3xQQQ-0.75%ER-daily,0
1993-06-17,0.3150394,0.31576439,0.31265728,0.31417198,490880000,True,QQQ,synthetic-leveraged,v1-3xQQQ-0.75%ER-daily,0
1993-06-18,0.3035426,0.30501023,0.29849758,0.29849758,499840000,True,QQQ,synthetic-leveraged,v1-3xQQQ-0.75%ER-daily,0
1993-06-21,0.29833024,0.29892614,0.2958675,0.29825107,416940000,True,QQQ,synthetic-leveraged,v1-3xQQQ-0.75%ER-daily,0
1993-06-22,0.29545389,0.29651064,0.29339812,0.29407926,516340000,True,QQQ,synthetic-leveraged,v1-3xQQQ-0.75%ER-daily,0
1993-06-23,0.29197427,0.29306855,0.28992912,0.29093736,519900000,True,QQQ,synthetic-leveraged,v1-3xQQQ-0.75%ER-daily,0
1993-06-24,0.29562832,0.29868092,0.29381259,0.29803542,454300000,True,QQQ,synthetic-leveraged,v1-3xQQQ-0.75%ER-daily,0
1993-06-25,0.30526726,0.31021963,0.30526299,0.309021,438720000,True,QQQ,synthetic-leveraged,v1-3xQQQ-0.75%ER-daily,0
1993-06-28,0.3194538,0.32494373,0.3194538,0.32494373,454020000,True,QQQ,synthetic-leveraged,v1-3xQQQ-0.75%ER-daily,0
1993-06-29,0.32051211,0.32170821,0.31732831,0.31834606,502100000,True,QQQ,synthetic-leveraged,v1-3xQQQ-0.75%ER-daily,0
1993-06-30,0.31862357,0.32194947,0.31812297,0.31876725,531800000,True,QQQ,synthetic-leveraged,v1-3xQQQ-0.75%ER-daily,0
1993-07-01,0.31455983,0.31489491,0.31076234,0.31250215,451580000,True,QQQ,synthetic-leveraged,v1-3xQQQ-0.75%ER-daily,0
1993-07-02,0.31332512,0.31424254,0.31129213,0.3137429,365080000,True,QQQ,synthetic-leveraged,v1-3xQQQ-0.75%ER-daily,0
1993-07-06,0.3077855,0.30864327,0.3039658,0.30489538,398740000,True,QQQ,synthetic-leveraged,v1-3xQQQ-0.75%ER-daily,0
1993-07-07,0.29989361,0.29989361,0.29572512,0.29745818,472020000,True,QQQ,synthetic-leveraged,v1-3xQQQ-0.75%ER-daily,0
1993-07-08,0.30212529,0.30502525,0.30133168,0.30451874,509340000,True,QQQ,synthetic-leveraged,v1-3xQQQ-0.75%ER-daily,0
1993-07-09,0.30746695,0.30932521,0.30544245,0.30896716,427460000,True,QQQ,synthetic-leveraged,v1-3xQQQ-0.75%ER-daily,0
1993-07-12,0.30965621,0.31195861,0.30819962,0.3100065,405040000,True,QQQ,synthetic-leveraged,v1-3xQQQ-0.75%ER-daily,0
1993-07-13,0.30847288,0.30985428,0.30698949,0.30771633,513060000,True,QQQ,synthetic-leveraged,v1-3xQQQ-0.75%ER-daily,0
1993-07-14,0.31068498,0.31441427,0.30907568,0.31219554,581120000,True,QQQ,synthetic-leveraged,v1-3xQQQ-0.75%ER-daily,0
1993-07-15,0.30651328,0.30651328,0.30334064,0.30375354,600440000,True,QQQ,synthetic-leveraged,v1-3xQQQ-0.75%ER-daily,0
1993-07-16,0.2874868,0.2874868,0.27922821,0.2799939,565760000,True,QQQ,synthetic-leveraged,v1-3xQQQ-0.75%ER-daily,0
1993-07-19,0.27676086,0.27701705,0.27317,0.27517628,479240000,True,QQQ,synthetic-leveraged,v1-3xQQQ-0.75%ER-daily,0
1993-07-20,0.28553304,0.29147994,0.28553304,0.2910137,523300000,True,QQQ,synthetic-leveraged,v1-3xQQQ-0.75%ER-daily,0
1993-07-21,0.28584709,0.28584709,0.28200643,0.28333619,511860000,True,QQQ,synthetic-leveraged,v1-3xQQQ-0.75%ER-daily,0
1993-07-22,0.27635714,0.27775994,0.27205077,0.27299904,513640000,True,QQQ,synthetic-leveraged,v1-3xQQQ-0.75%ER-daily,0
1993-07-23,0.28049605,0.28554069,0.28049605,0.28440534,475160000,True,QQQ,synthetic-leveraged,v1-3xQQQ-0.75%ER-daily,0
1993-07-26,0.28950403,0.29341376,0.28939338,0.29212689,452300000,True,QQQ,synthetic-leveraged,v1-3xQQQ-0.75%ER-daily,0
