date,price,type
1999-10-27,103.40,buy
2000-03-23,367.65,sell
2001-04-05,9.33,buy
2001-05-22,17.31,sell
2002-10-07,0.49,buy
2004-01-21,2.31,sell
2004-08-12,1.19,buy
2006-04-05,2.12,sell
2006-07-26,1.35,buy
2007-10-29,3.66,sell
2009-03-02,0.24,buy
2011-02-09,1.41,sell
2011-12-20,0.90,buy
2018-10-03,17.16,sell
2018-12-28,8.38,buy
2020-02-21,30.88,sell
2020-03-25,11.00,buy
2021-08-26,66.08,sell
2021-10-05,56.55,buy
2021-12-30,88.58,sell
2023-01-12,24.70,buy
2024-03-04,84.14,sell
2024-04-23,65.72,buy
2024-07-15,107.52,sell
2024-08-05,59.61,buy
2025-02-19,98.07,sell
2025-04-24,49.83,buy
2025-10-30,149.09,sell
